ブシロード企業サイト,https://bushiroad.co.jp/,0.333333333,-1,-0.888888889,-0.666666667,-0.888888889,-0.777777778
Unreal Engine,https://www.unrealengine.com/ja/,1.111111111,-2.222222222,1.666666667,-1.888888889,-2,-1.888888889
Godot Engine,https://godotengine.org/,-1,-1,0.555555556,-0.777777778,-0.333333333,-0.555555556
Apex Legends? ニュース - EA公式サイト,https://www.ea.com/ja-jp/games/apex-legends/news,-1.555555556,-0.666666667,-1.555555556,-1.777777778,-0.666666667,-0.777777778
Esports Charts,https://escharts.com/ja,1,-1.888888889,1.222222222,-1.888888889,-1.555555556,-1
Liquipedia.net.,https://liquipedia.net/,0.777777778,-1.222222222,-1.111111111,-0.666666667,-0.222222222,-0.444444444
株式会社サイバーエージェント,https://www.cyberagent.co.jp/,-0.888888889,-1.333333333,-1,-1.111111111,-0.222222222,-0.333333333
VALORANT,https://playvalorant.com/ja-jp/,-0.111111111,-0.111111111,-0.222222222,-1.888888889,-1.555555556,-1.444444444
Clash Royale × Supercell,https://supercell.com/en/games/clashroyale/,-0.444444444,0.555555556,-1.666666667,-0.333333333,0.222222222,-0.444444444
Cocos2d-x ,https://www.cocos.com/en/cocos2d-x,0.555555556,-1.666666667,-2.333333333,-1.111111111,-1.666666667,-1.333333333
Apple（日本）,https://www.apple.com/jp/,0.888888889,-2.444444444,0,-2.222222222,-2.666666667,-2.555555556
事業戦略家集団 | 株式会社グラディート | GRADITO |,https://www.gradito.net/,0.181818182,-1.272727273,1.909090909,-2.090909091,-1.090909091,-1.090909091
EXE[エグゼ],https://exe-pro.jp/,1.181818182,-2.090909091,-0.818181818,-1.363636364,-1.454545455,-1.090909091
株式会社ポケモン,https://corporate.pokemon.co.jp/,-0.181818182,1.090909091,-2.090909091,1.545454545,-1.909090909,-2.181818182
声優と夜あそび 2023【公式】 | ABEMA,https://sayyoutoyoasobi.com/,-2.272727273,1.181818182,-2.090909091,0.363636364,0.090909091,-0.090909091
digital egg inc.,https://www.digitalegg.co.jp/,2.636363636,-1.272727273,-0.818181818,-0.909090909,-1.454545455,-0.454545455
